pincode,City,State
590020,Belagavi,Karnataka
591101,Belagavi,Karnataka
591107,Belagavi,Karnataka
591109,Belagavi,Karnataka
591114,Belagavi,Karnataka
591122,Belagavi,Karnataka
591124,Belagavi,Karnataka
591128,Belagavi,Karnataka
591143,Belagavi,Karnataka
591156,Belagavi,Karnataka
591173,Belagavi,Karnataka
591212,Belagavi,Karnataka
591217,Belagavi,Karnataka
591223,Belagavi,Karnataka
591227,Belagavi,Karnataka
591230,Belagavi,Karnataka
591233,Belagavi,Karnataka
591240,Belagavi,Karnataka
591243,Belagavi,Karnataka
591254,Belagavi,Karnataka
591265,Belagavi,Karnataka
591312,Belagavi,Karnataka
591315,Belagavi,Karnataka
591344,Belagavi,Karnataka
583134,Bellary,Karnataka
583211,Bellary,Karnataka
583216,Bellary,Karnataka
583217,Bellary,Karnataka
583239,Bellary,Karnataka
583276,Bellary,Karnataka
560115,Bengaluru Rural,Karnataka
460330,Betul,Madhya Pradesh
460553,Betul,Madhya Pradesh
127311,Bhiwani,Haryana
127312,Bhiwani,Haryana
586109,Bijapur (Kar),Karnataka
586124,Bijapur (Kar),Karnataka
586245,Bijapur (Kar),Karnataka
246721,Bijnor,Uttar Pradesh
246725,Bijnor,Uttar Pradesh
246736,Bijnor,Uttar Pradesh
203390,Bulandshahr,Uttar Pradesh
203391,Bulandshahr,Uttar Pradesh
203394,Bulandshahr,Uttar Pradesh
203395,Bulandshahr,Uttar Pradesh
203396,Bulandshahr,Uttar Pradesh
203397,Bulandshahr,Uttar Pradesh
203398,Bulandshahr,Uttar Pradesh
203399,Bulandshahr,Uttar Pradesh
203401,Bulandshahr,Uttar Pradesh
203402,Bulandshahr,Uttar Pradesh
203403,Bulandshahr,Uttar Pradesh
203405,Bulandshahr,Uttar Pradesh
203408,Bulandshahr,Uttar Pradesh
571109,Chamrajnagar,Karnataka
571444,Chamrajnagar,Karnataka
571457,Chamrajnagar,Karnataka
221012,Chandauli,Uttar Pradesh
232118,Chandauli,Uttar Pradesh
480003,Chhindwara,Madhya Pradesh
577502,Chitradurga,Karnataka
577517,Chitradurga,Karnataka
577520,Chitradurga,Karnataka
577524,Chitradurga,Karnataka
577531,Chitradurga,Karnataka
577542,Chitradurga,Karnataka
577555,Chitradurga,Karnataka
577557,Chitradurga,Karnataka
577558,Chitradurga,Karnataka
577596,Chitradurga,Karnataka
312206,Chittorgarh,Rajasthan
312627,Chittorgarh,Rajasthan
606003,Cuddalore,Tamil Nadu
606103,Cuddalore,Tamil Nadu
606104,Cuddalore,Tamil Nadu
606105,Cuddalore,Tamil Nadu
606108,Cuddalore,Tamil Nadu
606109,Cuddalore,Tamil Nadu
606110,Cuddalore,Tamil Nadu
606111,Cuddalore,Tamil Nadu
606302,Cuddalore,Tamil Nadu
607006,Cuddalore,Tamil Nadu
607108,Cuddalore,Tamil Nadu
607205,Cuddalore,Tamil Nadu
607804,Cuddalore,Tamil Nadu
607805,Cuddalore,Tamil Nadu
608401,Cuddalore,Tamil Nadu
389170,Dahod,Gujarat
389180,Dahod,Gujarat
574141,Dakshina Kannada,Karnataka
574142,Dakshina Kannada,Karnataka
574144,Dakshina Kannada,Karnataka
574145,Dakshina Kannada,Karnataka
574148,Dakshina Kannada,Karnataka
574150,Dakshina Kannada,Karnataka
574154,Dakshina Kannada,Karnataka
574198,Dakshina Kannada,Karnataka
574202,Dakshina Kannada,Karnataka
574210,Dakshina Kannada,Karnataka
574212,Dakshina Kannada,Karnataka
574213,Dakshina Kannada,Karnataka
574214,Dakshina Kannada,Karnataka
574216,Dakshina Kannada,Karnataka
574217,Dakshina Kannada,Karnataka
574218,Dakshina Kannada,Karnataka
574219,Dakshina Kannada,Karnataka
574220,Dakshina Kannada,Karnataka
574221,Dakshina Kannada,Karnataka
574224,Dakshina Kannada,Karnataka
574226,Dakshina Kannada,Karnataka
574228,Dakshina Kannada,Karnataka
574229,Dakshina Kannada,Karnataka
574230,Dakshina Kannada,Karnataka
574232,Dakshina Kannada,Karnataka
574233,Dakshina Kannada,Karnataka
574235,Dakshina Kannada,Karnataka
574236,Dakshina Kannada,Karnataka
574237,Dakshina Kannada,Karnataka
574238,Dakshina Kannada,Karnataka
574239,Dakshina Kannada,Karnataka
574240,Dakshina Kannada,Karnataka
574241,Dakshina Kannada,Karnataka
574242,Dakshina Kannada,Karnataka
574243,Dakshina Kannada,Karnataka
574248,Dakshina Kannada,Karnataka
574253,Dakshina Kannada,Karnataka
574259,Dakshina Kannada,Karnataka
574260,Dakshina Kannada,Karnataka
574265,Dakshina Kannada,Karnataka
574267,Dakshina Kannada,Karnataka
574274,Dakshina Kannada,Karnataka
574279,Dakshina Kannada,Karnataka
574285,Dakshina Kannada,Karnataka
574313,Dakshina Kannada,Karnataka
574314,Dakshina Kannada,Karnataka
574323,Dakshina Kannada,Karnataka
574324,Dakshina Kannada,Karnataka
574325,Dakshina Kannada,Karnataka
574326,Dakshina Kannada,Karnataka
574327,Dakshina Kannada,Karnataka
574328,Dakshina Kannada,Karnataka
574509,Dakshina Kannada,Karnataka
575022,Dakshina Kannada,Karnataka
575025,Dakshina Kannada,Karnataka
575028,Dakshina Kannada,Karnataka
575029,Dakshina Kannada,Karnataka
577215,Davangere,Karnataka
577221,Davangere,Karnataka
577530,Davangere,Karnataka
577534,Davangere,Karnataka
583127,Davangere,Karnataka
493662,Dhamtari,Chhattisgarh
493663,Dhamtari,Chhattisgarh
493776,Dhamtari,Chhattisgarh
493778,Dhamtari,Chhattisgarh
759029,Dhenkanal,Orissa
759040,Dhenkanal,Orissa
759120,Dhenkanal,Orissa
759121,Dhenkanal,Orissa
425404,Dhule,Maharashtra
638012,Erode,Tamil Nadu
638054,Erode,Tamil Nadu
638060,Erode,Tamil Nadu
638110,Erode,Tamil Nadu
638153,Erode,Tamil Nadu
638312,Erode,Tamil Nadu
638313,Erode,Tamil Nadu
638314,Erode,Tamil Nadu
638315,Erode,Tamil Nadu
638453,Erode,Tamil Nadu
638456,Erode,Tamil Nadu
638457,Erode,Tamil Nadu
638501,Erode,Tamil Nadu
638502,Erode,Tamil Nadu
638504,Erode,Tamil Nadu
141411,Fatehgarh Sahib,Punjab
283103,Firozabad,Uttar Pradesh
283136,Firozabad,Uttar Pradesh
283141,Firozabad,Uttar Pradesh
283151,Firozabad,Uttar Pradesh
760003,Ganjam,Orissa
760006,Ganjam,Orissa
760007,Ganjam,Orissa
760009,Ganjam,Orissa
760010,Ganjam,Orissa
761001,Ganjam,Orissa
761002,Ganjam,Orissa
761003,Ganjam,Orissa
761008,Ganjam,Orissa
761009,Ganjam,Orissa
761031,Ganjam,Orissa
761032,Ganjam,Orissa
761041,Ganjam,Orissa
761043,Ganjam,Orissa
761052,Ganjam,Orissa
761054,Ganjam,Orissa
761100,Ganjam,Orissa
761101,Ganjam,Orissa
761102,Ganjam,Orissa
761103,Ganjam,Orissa
761106,Ganjam,Orissa
761107,Ganjam,Orissa
761109,Ganjam,Orissa
761114,Ganjam,Orissa
761118,Ganjam,Orissa
761120,Ganjam,Orissa
761123,Ganjam,Orissa
761125,Ganjam,Orissa
761132,Ganjam,Orissa
761133,Ganjam,Orissa
761140,Ganjam,Orissa
761141,Ganjam,Orissa
761144,Ganjam,Orissa
761146,Ganjam,Orissa
493889,Gariaband,Chhattisgarh
493996,Gariaband,Chhattisgarh
232330,Ghazipur,Uttar Pradesh
232339,Ghazipur,Uttar Pradesh
232341,Ghazipur,Uttar Pradesh
233222,Ghazipur,Uttar Pradesh
233226,Ghazipur,Uttar Pradesh
233227,Ghazipur,Uttar Pradesh
233229,Ghazipur,Uttar Pradesh
233230,Ghazipur,Uttar Pradesh
233233,Ghazipur,Uttar Pradesh
233234,Ghazipur,Uttar Pradesh
233300,Ghazipur,Uttar Pradesh
233301,Ghazipur,Uttar Pradesh
233302,Ghazipur,Uttar Pradesh
233303,Ghazipur,Uttar Pradesh
233305,Ghazipur,Uttar Pradesh
233311,Ghazipur,Uttar Pradesh
275201,Ghazipur,Uttar Pradesh
275202,Ghazipur,Uttar Pradesh
275203,Ghazipur,Uttar Pradesh
275205,Ghazipur,Uttar Pradesh
441806,Gondia,Maharashtra
441807,Gondia,Maharashtra
273002,Gorakhpur,Uttar Pradesh
273003,Gorakhpur,Uttar Pradesh
273007,Gorakhpur,Uttar Pradesh
273009,Gorakhpur,Uttar Pradesh
273010,Gorakhpur,Uttar Pradesh
273012,Gorakhpur,Uttar Pradesh
273013,Gorakhpur,Uttar Pradesh
273014,Gorakhpur,Uttar Pradesh
273015,Gorakhpur,Uttar Pradesh
273017,Gorakhpur,Uttar Pradesh
273158,Gorakhpur,Uttar Pradesh
273165,Gorakhpur,Uttar Pradesh
273202,Gorakhpur,Uttar Pradesh
273203,Gorakhpur,Uttar Pradesh
273209,Gorakhpur,Uttar Pradesh
273306,Gorakhpur,Uttar Pradesh
273401,Gorakhpur,Uttar Pradesh
273405,Gorakhpur,Uttar Pradesh
241127,Hardoi,Uttar Pradesh
249405,Haridwar,Uttarakhand
249411,Haridwar,Uttarakhand
573101,Hassan,Karnataka
573111,Hassan,Karnataka
573113,Hassan,Karnataka
573118,Hassan,Karnataka
573123,Hassan,Karnataka
573124,Hassan,Karnataka
573127,Hassan,Karnataka
573128,Hassan,Karnataka
573131,Hassan,Karnataka
573135,Hassan,Karnataka
573136,Hassan,Karnataka
573141,Hassan,Karnataka
573165,Hassan,Karnataka
573210,Hassan,Karnataka
573212,Hassan,Karnataka
573214,Hassan,Karnataka
573215,Hassan,Karnataka
573216,Hassan,Karnataka
573217,Hassan,Karnataka
573219,Hassan,Karnataka
573220,Hassan,Karnataka
573225,Hassan,Karnataka
573226,Hassan,Karnataka
581104,Haveri,Karnataka
581106,Haveri,Karnataka
581116,Haveri,Karnataka
581118,Haveri,Karnataka
581119,Haveri,Karnataka
581120,Haveri,Karnataka
581148,Haveri,Karnataka
581193,Haveri,Karnataka
581198,Haveri,Karnataka
581199,Haveri,Karnataka
581203,Haveri,Karnataka
581212,Haveri,Karnataka
581237,Haveri,Karnataka
144105,Hoshiarpur,Punjab
144406,Hoshiarpur,Punjab
144528,Hoshiarpur,Punjab
144530,Hoshiarpur,Punjab
144532,Hoshiarpur,Punjab
146115,Hoshiarpur,Punjab
754296,Jajpur,Orissa
755011,Jajpur,Orissa
755015,Jajpur,Orissa
755022,Jajpur,Orissa
144029,Jalandhar,Punjab
144030,Jalandhar,Punjab
144031,Jalandhar,Punjab
144035,Jalandhar,Punjab
144036,Jalandhar,Punjab
144103,Jalandhar,Punjab
144104,Jalandhar,Punjab
144416,Jalandhar,Punjab
144419,Jalandhar,Punjab
144633,Jalandhar,Punjab
144805,Jalandhar,Punjab
424102,Jalgaon,Maharashtra
424107,Jalgaon,Maharashtra
424208,Jalgaon,Maharashtra
425327,Jalgaon,Maharashtra
425402,Jalgaon,Maharashtra
425506,Jalgaon,Maharashtra
425507,Jalgaon,Maharashtra
495552,Janjgirchampa,Chhattisgarh
495557,Janjgirchampa,Chhattisgarh
495668,Janjgirchampa,Chhattisgarh
222132,Jaunpur,Uttar Pradesh
222135,Jaunpur,Uttar Pradesh
222138,Jaunpur,Uttar Pradesh
222175,Jaunpur,Uttar Pradesh
284121,Jhansi,Uttar Pradesh
284304,Jhansi,Uttar Pradesh
284419,Jhansi,Uttar Pradesh
768210,Jharsuguda,Orissa
768213,Jharsuguda,Orissa
768215,Jharsuguda,Orissa
768217,Jharsuguda,Orissa
768218,Jharsuguda,Orissa
768220,Jharsuguda,Orissa
768233,Jharsuguda,Orissa
629101,Kanyakumari,Tamil Nadu
629102,Kanyakumari,Tamil Nadu
629151,Kanyakumari,Tamil Nadu
629152,Kanyakumari,Tamil Nadu
629153,Kanyakumari,Tamil Nadu
629154,Kanyakumari,Tamil Nadu
629155,Kanyakumari,Tamil Nadu
629156,Kanyakumari,Tamil Nadu
629157,Kanyakumari,Tamil Nadu
629158,Kanyakumari,Tamil Nadu
629159,Kanyakumari,Tamil Nadu
629160,Kanyakumari,Tamil Nadu
629161,Kanyakumari,Tamil Nadu
629162,Kanyakumari,Tamil Nadu
629163,Kanyakumari,Tamil Nadu
629164,Kanyakumari,Tamil Nadu
629166,Kanyakumari,Tamil Nadu
629167,Kanyakumari,Tamil Nadu
629168,Kanyakumari,Tamil Nadu
629169,Kanyakumari,Tamil Nadu
629170,Kanyakumari,Tamil Nadu
629171,Kanyakumari,Tamil Nadu
629172,Kanyakumari,Tamil Nadu
629173,Kanyakumari,Tamil Nadu
629174,Kanyakumari,Tamil Nadu
629175,Kanyakumari,Tamil Nadu
629176,Kanyakumari,Tamil Nadu
629178,Kanyakumari,Tamil Nadu
629179,Kanyakumari,Tamil Nadu
629180,Kanyakumari,Tamil Nadu
629193,Kanyakumari,Tamil Nadu
629201,Kanyakumari,Tamil Nadu
629202,Kanyakumari,Tamil Nadu
629203,Kanyakumari,Tamil Nadu
629204,Kanyakumari,Tamil Nadu
629251,Kanyakumari,Tamil Nadu
629252,Kanyakumari,Tamil Nadu
629301,Kanyakumari,Tamil Nadu
629302,Kanyakumari,Tamil Nadu
629401,Kanyakumari,Tamil Nadu
629402,Kanyakumari,Tamil Nadu
629501,Kanyakumari,Tamil Nadu
629601,Kanyakumari,Tamil Nadu
629602,Kanyakumari,Tamil Nadu
629701,Kanyakumari,Tamil Nadu
629702,Kanyakumari,Tamil Nadu
629703,Kanyakumari,Tamil Nadu
629704,Kanyakumari,Tamil Nadu
629801,Kanyakumari,Tamil Nadu
629802,Kanyakumari,Tamil Nadu
629803,Kanyakumari,Tamil Nadu
629809,Kanyakumari,Tamil Nadu
629810,Kanyakumari,Tamil Nadu
629851,Kanyakumari,Tamil Nadu
629852,Kanyakumari,Tamil Nadu
629901,Kanyakumari,Tamil Nadu
621301,Karur,Tamil Nadu
621305,Karur,Tamil Nadu
639007,Karur,Tamil Nadu
639008,Karur,Tamil Nadu
639102,Karur,Tamil Nadu
639119,Karur,Tamil Nadu
639120,Karur,Tamil Nadu
754248,Kendrapara,Orissa
754289,Kendrapara,Orissa
758085,Kendujhar,Orissa
758087,Kendujhar,Orissa
387003,Kheda,Gujarat
387230,Kheda,Gujarat
387355,Kheda,Gujarat
387550,Kheda,Gujarat
387630,Kheda,Gujarat
387710,Kheda,Gujarat
388140,Kheda,Gujarat
388160,Kheda,Gujarat
388430,Kheda,Gujarat
388460,Kheda,Gujarat
388570,Kheda,Gujarat
388580,Kheda,Gujarat
388590,Kheda,Gujarat
563147,Kolar,Karnataka
563163,Kolar,Karnataka
416138,Kolhapur,Maharashtra
416215,Kolhapur,Maharashtra
416220,Kolhapur,Maharashtra
416504,Kolhapur,Maharashtra
416505,Kolhapur,Maharashtra
416507,Kolhapur,Maharashtra
416508,Kolhapur,Maharashtra
416527,Kolhapur,Maharashtra
416551,Kolhapur,Maharashtra
416552,Kolhapur,Maharashtra
495684,Korba,Chhattisgarh
534340,Kovvur,Andhra Pradesh
635130,Krishnagiri,Tamil Nadu
635204,Krishnagiri,Tamil Nadu
635307,Krishnagiri,Tamil Nadu
581195,Madikeri,Karnataka
625109,Madurai,Tamil Nadu
625703,Madurai,Tamil Nadu
625707,Madurai,Tamil Nadu
493448,Mahasamund,Chhattisgarh
493449,Mahasamund,Chhattisgarh
493558,Mahasamund,Chhattisgarh
384003,Mahesana,Gujarat
423102,Malegaon,Maharashtra
481661,Mandla,Madhya Pradesh
481665,Mandla,Madhya Pradesh
571402,Mandya,Karnataka
571404,Mandya,Karnataka
571415,Mandya,Karnataka
571417,Mandya,Karnataka
571419,Mandya,Karnataka
571421,Mandya,Karnataka
571422,Mandya,Karnataka
571423,Mandya,Karnataka
571427,Mandya,Karnataka
571431,Mandya,Karnataka
571432,Mandya,Karnataka
571434,Mandya,Karnataka
571435,Mandya,Karnataka
571436,Mandya,Karnataka
571445,Mandya,Karnataka
571455,Mandya,Karnataka
571463,Mandya,Karnataka
571475,Mandya,Karnataka
571476,Mandya,Karnataka
571477,Mandya,Karnataka
571478,Mandya,Karnataka
571605,Mandya,Karnataka
571607,Mandya,Karnataka
571807,Mandya,Karnataka
571812,Mandya,Karnataka
281303,Mathura,Uttar Pradesh
281305,Mathura,Uttar Pradesh
251311,Muzaffarnagar,Uttar Pradesh
244712,Nainital,Uttarakhand
244713,Nainital,Uttarakhand
244715,Nainital,Uttarakhand
244716,Nainital,Uttarakhand
262308,Nainital,Uttarakhand
262402,Nainital,Uttarakhand
263001,Nainital,Uttarakhand
263126,Nainital,Uttarakhand
263127,Nainital,Uttarakhand
263128,Nainital,Uttarakhand
263132,Nainital,Uttarakhand
263136,Nainital,Uttarakhand
263139,Nainital,Uttarakhand
263140,Nainital,Uttarakhand
263142,Nainital,Uttarakhand
263145,Nainital,Uttarakhand
263156,Nainital,Uttarakhand
263158,Nainital,Uttarakhand
263159,Nainital,Uttarakhand
263002,Nainital,Uttarakhand
508004,Nalgonda,Telangana
636118,Namakkal,Tamil Nadu
636202,Namakkal,Tamil Nadu
636301,Namakkal,Tamil Nadu
637013,Namakkal,Tamil Nadu
637014,Namakkal,Tamil Nadu
637019,Namakkal,Tamil Nadu
637021,Namakkal,Tamil Nadu
637203,Namakkal,Tamil Nadu
637208,Namakkal,Tamil Nadu
637215,Namakkal,Tamil Nadu
637402,Namakkal,Tamil Nadu
637404,Namakkal,Tamil Nadu
637405,Namakkal,Tamil Nadu
637409,Namakkal,Tamil Nadu
637411,Namakkal,Tamil Nadu
431708,Nanded,Maharashtra
431746,Nanded,Maharashtra
431750,Nanded,Maharashtra
571320,Nanjangud,Karnataka
396110,Navsari,Gujarat
396310,Navsari,Gujarat
396325,Navsari,Gujarat
396350,Navsari,Gujarat
396370,Navsari,Gujarat
396403,Navsari,Gujarat
396406,Navsari,Gujarat
396409,Navsari,Gujarat
396412,Navsari,Gujarat
396418,Navsari,Gujarat
396427,Navsari,Gujarat
396430,Navsari,Gujarat
396433,Navsari,Gujarat
396460,Navsari,Gujarat
396463,Navsari,Gujarat
396466,Navsari,Gujarat
396475,Navsari,Gujarat
396521,Navsari,Gujarat
396530,Navsari,Gujarat
458470,Neemuch,Madhya Pradesh
524005,Nellore,Andhra Pradesh
389002,Panch Mahals,Gujarat
389115,Panch Mahals,Gujarat
389341,Panch Mahals,Gujarat
389360,Panch Mahals,Gujarat
389365,Panch Mahals,Gujarat
389370,Panch Mahals,Gujarat
389390,Panch Mahals,Gujarat
134103,Panchkula,Haryana
134105,Panchkula,Haryana
134205,Panchkula,Haryana
384229,Patan,Gujarat
384275,Patan,Gujarat
249302,Pauri Garhwal,Uttarakhand
360545,Porbandar,Gujarat
360560,Porbandar,Gujarat
360576,Porbandar,Gujarat
360579,Porbandar,Gujarat
523135,Prakasam,Andhra Pradesh
523184,Prakasam,Andhra Pradesh
523263,Prakasam,Andhra Pradesh
491229,Rajnandgaon,Chhattisgarh
491444,Rajnandgaon,Chhattisgarh
491445,Rajnandgaon,Chhattisgarh
491557,Rajnandgaon,Chhattisgarh
491661,Rajnandgaon,Chhattisgarh
491665,Rajnandgaon,Chhattisgarh
491666,Rajnandgaon,Chhattisgarh
491668,Rajnandgaon,Chhattisgarh
491881,Rajnandgaon,Chhattisgarh
491885,Rajnandgaon,Chhattisgarh
562138,Ramanagar,Karnataka
562161,Ramanagar,Karnataka
140112,Ropar,Punjab
140116,Ropar,Punjab
140119,Ropar,Punjab
140125,Ropar,Punjab
140133,Ropar,Punjab
140413,Ropar,Punjab
140117,Rupnagar,Punjab
247122,Saharanpur,Uttar Pradesh
247232,Saharanpur,Uttar Pradesh
415303,Sangli,Maharashtra
415307,Sangli,Maharashtra
415308,Sangli,Maharashtra
415310,Sangli,Maharashtra
415402,Sangli,Maharashtra
415404,Sangli,Maharashtra
415405,Sangli,Maharashtra
415415,Sangli,Maharashtra
416314,Sangli,Maharashtra
416402,Sangli,Maharashtra
416411,Sangli,Maharashtra
416417,Sangli,Maharashtra
416418,Sangli,Maharashtra
416419,Sangli,Maharashtra
415023,Satara,Maharashtra
415115,Satara,Maharashtra
415122,Satara,Maharashtra
415211,Satara,Maharashtra
415212,Satara,Maharashtra
415503,Satara,Maharashtra
415510,Satara,Maharashtra
415530,Satara,Maharashtra
415536,Satara,Maharashtra
480667,Seoni,Madhya Pradesh
480884,Seoni,Madhya Pradesh
484444,Shahdol,Madhya Pradesh
577214,Shivamogga,Karnataka
577226,Shivamogga,Karnataka
577229,Shivamogga,Karnataka
577232,Shivamogga,Karnataka
577243,Shivamogga,Karnataka
577411,Shivamogga,Karnataka
577412,Shivamogga,Karnataka
577413,Shivamogga,Karnataka
577414,Shivamogga,Karnataka
577415,Shivamogga,Karnataka
577417,Shivamogga,Karnataka
577419,Shivamogga,Karnataka
577422,Shivamogga,Karnataka
577424,Shivamogga,Karnataka
577426,Shivamogga,Karnataka
577429,Shivamogga,Karnataka
577432,Shivamogga,Karnataka
577433,Shivamogga,Karnataka
577434,Shivamogga,Karnataka
577435,Shivamogga,Karnataka
577436,Shivamogga,Karnataka
577448,Shivamogga,Karnataka
332041,Sikar,Rajasthan
332406,Sikar,Rajasthan
416510,Sindhudurg,Maharashtra
416511,Sindhudurg,Maharashtra
416513,Sindhudurg,Maharashtra
416514,Sindhudurg,Maharashtra
416515,Sindhudurg,Maharashtra
416516,Sindhudurg,Maharashtra
416517,Sindhudurg,Maharashtra
416520,Sindhudurg,Maharashtra
416521,Sindhudurg,Maharashtra
416522,Sindhudurg,Maharashtra
416523,Sindhudurg,Maharashtra
416524,Sindhudurg,Maharashtra
416528,Sindhudurg,Maharashtra
416534,Sindhudurg,Maharashtra
416549,Sindhudurg,Maharashtra
416550,Sindhudurg,Maharashtra
416603,Sindhudurg,Maharashtra
416604,Sindhudurg,Maharashtra
416605,Sindhudurg,Maharashtra
416606,Sindhudurg,Maharashtra
416608,Sindhudurg,Maharashtra
416614,Sindhudurg,Maharashtra
416616,Sindhudurg,Maharashtra
416623,Sindhudurg,Maharashtra
416626,Sindhudurg,Maharashtra
416703,Sindhudurg,Maharashtra
416803,Sindhudurg,Maharashtra
416807,Sindhudurg,Maharashtra
416810,Sindhudurg,Maharashtra
416812,Sindhudurg,Maharashtra
416813,Sindhudurg,Maharashtra
171102,Solan,Himachal Pradesh
173202,Solan,Himachal Pradesh
173206,Solan,Himachal Pradesh
173207,Solan,Himachal Pradesh
173208,Solan,Himachal Pradesh
173209,Solan,Himachal Pradesh
173211,Solan,Himachal Pradesh
173213,Solan,Himachal Pradesh
173215,Solan,Himachal Pradesh
173217,Solan,Himachal Pradesh
173218,Solan,Himachal Pradesh
173221,Solan,Himachal Pradesh
173222,Solan,Himachal Pradesh
173230,Solan,Himachal Pradesh
173234,Solan,Himachal Pradesh
173235,Solan,Himachal Pradesh
174101,Solan,Himachal Pradesh
174103,Solan,Himachal Pradesh
131030,Sonipat,Haryana
743312,South 24 Parganas,West Bengal
743329,South 24 Parganas,West Bengal
743332,South 24 Parganas,West Bengal
743351,South 24 Parganas,West Bengal
743373,South 24 Parganas,West Bengal
743376,South 24 Parganas,West Bengal
743502,South 24 Parganas,West Bengal
743609,South 24 Parganas,West Bengal
743611,South 24 Parganas,West Bengal
532127,Srikakulam,Andhra Pradesh
532168,Srikakulam,Andhra Pradesh
532185,Srikakulam,Andhra Pradesh
532218,Srikakulam,Andhra Pradesh
532220,Srikakulam,Andhra Pradesh
532221,Srikakulam,Andhra Pradesh
532222,Srikakulam,Andhra Pradesh
532243,Srikakulam,Andhra Pradesh
532292,Srikakulam,Andhra Pradesh
532401,Srikakulam,Andhra Pradesh
532403,Srikakulam,Andhra Pradesh
532405,Srikakulam,Andhra Pradesh
532406,Srikakulam,Andhra Pradesh
532407,Srikakulam,Andhra Pradesh
532408,Srikakulam,Andhra Pradesh
532410,Srikakulam,Andhra Pradesh
532421,Srikakulam,Andhra Pradesh
532426,Srikakulam,Andhra Pradesh
532429,Srikakulam,Andhra Pradesh
532430,Srikakulam,Andhra Pradesh
532432,Srikakulam,Andhra Pradesh
532440,Srikakulam,Andhra Pradesh
532443,Srikakulam,Andhra Pradesh
532455,Srikakulam,Andhra Pradesh
532474,Srikakulam,Andhra Pradesh
532484,Srikakulam,Andhra Pradesh
769010,Sundergarh,Orissa
394516,Surat,Gujarat
394518,Surat,Gujarat
394550,Surat,Gujarat
395011,Surat,Gujarat
363310,Surendra Nagar,Gujarat
363330,Surendra Nagar,Gujarat
363351,Surendra Nagar,Gujarat
363423,Surendra Nagar,Gujarat
363435,Surendra Nagar,Gujarat
363530,Surendra Nagar,Gujarat
394246,Tapi,Gujarat
394640,Tapi,Gujarat
143402,Tarn Taran,Punjab
249126,Tehri Garhwal,Uttarakhand
249130,Tehri Garhwal,Uttarakhand
249137,Tehri Garhwal,Uttarakhand
249146,Tehri Garhwal,Uttarakhand
249155,Tehri Garhwal,Uttarakhand
249161,Tehri Garhwal,Uttarakhand
249175,Tehri Garhwal,Uttarakhand
249180,Tehri Garhwal,Uttarakhand
249192,Tehri Garhwal,Uttarakhand
613010,Thanjavur,Tamil Nadu
613102,Thanjavur,Tamil Nadu
613105,Thanjavur,Tamil Nadu
613401,Thanjavur,Tamil Nadu
614203,Thanjavur,Tamil Nadu
614301,Thanjavur,Tamil Nadu
614602,Thanjavur,Tamil Nadu
614613,Thanjavur,Tamil Nadu
614628,Thanjavur,Tamil Nadu
614901,Thanjavur,Tamil Nadu
614906,Thanjavur,Tamil Nadu
625527,Theni,Tamil Nadu
620027,Tiruchirappalli,Tamil Nadu
620101,Tiruchirappalli,Tamil Nadu
621002,Tiruchirappalli,Tamil Nadu
621003,Tiruchirappalli,Tamil Nadu
621004,Tiruchirappalli,Tamil Nadu
